Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownstreamLength,TotalReach,LocationDetailBAComments,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2001,EMAP Wadeable Streams 2001,Cold Stream Above Cuyamaca State Park Indian Exhibit,909WE0780,5/15/2001,0:00:00,X,0.1,m,Grab,1,1,WRS_2001_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.13,,0.01,-88,=,None,VAC,Hist,,,H85 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,32.929394,-116.5605316,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-0780
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,Santa Ysabel Creek ~0.4mi SW Hwy 79,905WE1018,4/25/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.193,,0.01,-88,=,None,VAC,Hist,,,H106 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.124325,-116.6823273,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-1018
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,Santa Ysabel Creek ~2mi E Hwy 79,905WE0679,4/24/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.141,,0.01,-88,=,None,VAC,Hist,Bio split used for Chl a determination; no AFDM results,,H107 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.13163,-116.6544037,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-0679
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2001,EMAP Wadeable Streams 2001,San Luis Rey River WF ~1mi N Mendenhall Valley,903WE0798,5/17/2001,0:00:00,X,0.1,m,Grab,1,1,WRS_2001_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.209,,0.01,-88,=,None,VAC,Hist,,,H83 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.336689,-116.8284836,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-0798
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2001,EMAP Wadeable Streams 2001,Sweetwater River at Glen Valley Campground,909WE0662,5/16/2001,0:00:00,X,0.1,m,Grab,1,1,WRS_2001_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.141,,0.01,-88,=,None,VAC,Hist,,,H84 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,32.89957,-116.5878906,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-0662
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,San Luis Rey River WF ~1.2mi below Colb Valley Creek,903WE0900,5/22/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.279,,0.01,-88,=,None,VAC,Hist,,,H104 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.330429,-116.8156433,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-0900
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,Escondido Creek ~0.6mi below Elfin Forest Rd.,904WE1131,5/21/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,8.063,,0.01,-88,=,None,VAC,Hist,,,H58 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.068367,-117.1697311,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-1131
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,Viejas Creek ~0.2mi SW Hwy 8,909WE1014,4/23/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,0.174,,0.01,-88,=,None,VAC,Hist,Bio split used for Chl a determination; no AFDM results,,H108 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,32.832561,-116.7268829,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-1014
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2001,EMAP Wadeable Streams 2001,De Luz Creek Trib ~1.8mi above De Luz Creek,902WE0888,6/19/2001,0:00:00,X,0.1,m,Grab,1,1,WRS_2001_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,7.244,,0.01,-88,=,None,VAC,Hist,,,H50 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.454868,-117.3016968,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,De Luz Creek,WCAP99-0888
EPA Environmental Monitoring & Assessment Program,EPA EMAP - 2002,EMAP Wadeable Streams 2002,Escondido Creek above Country Club Dr.,904WE1125,5/23/2002,0:00:00,X,0.1,m,Grab,1,1,WRS_2002_W_TN,,samplewater,WRS 34A.2,"Nitrogen, Total, Total",mg/L,8.756,,0.01,-88,=,None,VAC,Hist,,,H56 (where number equals number of days between collection and final analysis),MPSL-MLML received data from EPA EMAP; QA/QC performed but not reported to MPSL-MLML,BA,EMAP_2001_WS,DFW-ABL,,Water_Grab,33.098961,-117.1287613,Individual Collection by hand,0000-00-00,Subsurface,LabAcidified,1/1/1950 0:00,None,1/1/1950,1/1/1950,1,,WRS,MPSL-MLML,QN,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,WCAP99-1125
